,servo_state,FPGA,PLL,PSR,PSL,Clock State,PLL State,UTCOffset,sw_time
0,          wri2,44.69,28.56,34.19,"36.38
",,,,
1,"          --- not updating ---
",44.69,28.50,34.25,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000009
",2022-08-25 23:09:07.747649   TAI-UTC     
2,          wri2,44.69,28.50,34.25,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000009
",2022-08-25 23:09:08.012644   TAI-UTC     
3,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000009
",2022-08-25 23:09:09.005599   TAI-UTC     
4,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000008
",2022-08-25 23:09:10.000568   TAI-UTC     
5,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000008
",2022-08-25 23:09:11.000531   TAI-UTC     
6,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000009
",2022-08-25 23:09:12.004509   TAI-UTC     
7,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000009
",2022-08-25 23:09:13.002543   TAI-UTC     
8,          wri2,44.69,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000011
",2022-08-25 23:09:14.010592   TAI-UTC     
9,          wri2,44.62,28.50,34.19,"36.38
",BC    PLL locking state,"LOCKED  
","+37.000008
",2022-08-25 23:09:15.009547   TAI-UTC     
